Object Name
(SIMBADable)
GJ1001B
LHS1070B
2MASSJ00250365+4759191
LP349-25
L726-8
WISEJ014656.66+423410.0
DENIS-PJ020529.0-115925
2MASSWJ0310599+164816
SDSSpJ042348.57-041403.5
WISEPJ045853.90+643452.6
2MASSJ05185995-2828372
WISEPJ061135.13-041024.0
DENISJ0630014-184014
2MASSJ06524851-5741376
2MASSJ07003664+3157266
LHS1901
2MASSJ07200325-0846499
2MASSIJ0746425+200032
HD65216B
SDSSJ080531.84+481233.0
DENISJ0823031-491201
2MASSsJ0850359+105716
2MASSIJ0856479+223518
Gl337C
2MASSWJ0920122+351742
SDSSJ092615.38+584720.9
2MASSJ09522188-1924319
2MASSIJ1017075+130839
SDSSJ102109.69-030420.1
WISEJ104915.57-531906.1
SDSSJ105213.51+442255.7
Gl417B
LHS2397a
2MASSWJ1146345+223053
2MASSJ12095613-1004008
WISEPJ121756.91+162640.2
2MASSWJ1225543-273947
DENIS_J1228.2-1547
2MASSWJ1239272+551537
VHSJ125601.92-125723.9
Kelu-1
LSPMJ1314+1320
2MASSJ13153094-2649513
2MASSJ14044948-3159330
DENIS-PJ1441.6-0945
HD130948B
Gl569B
CFBDSIRJ145829+101343
2MASSJ15200224-4422419
SDSSJ153417.05+161546.1
2MASSIJ1534498-295227
2MASSWJ1553022+153236
LSRJ1610-0040
2MASSWJ1728114+394859
LSPMJ1735+2634
2MASSWJ1750129+442404
SCRJ1845-6357
2MASSIJ1847034+552243
SDSSJ205235.31-160929.8
2MASSJ21011544+1756586
2MASSIJ2132114+134158
2MASSWJ2140293+162518
DENIS-PJ220002.0-303832
eps_Ind_B
2MASSWJ2206228-204705
2MASSJ22344161+4041387
SDSSJ224953.46+004404.6
DENIS-PJ225210.7-173013
2MASSJ23310161-0406193
