RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,W1-mag,W1-mag Error,W2-mag,W2-mag Error
329.46430483143,26.992035443163505,65.8,1.3,-100.5,1.6,62.8,2.2,WISEPC J215751.38+265931.4,T7          ,16.99,0.107,14.493,0.048
329.5193344053174,-15.836208891198577,39.5,3.3,-67.4,2.5,46.1,5.6,2MASS J21580457-1550098   ,L5          ,12.588,0.023,12.212,0.026
330.32134005618894,32.36865416846172,110.8,2.1,59.5,1.7,31.4,5.4,PSO J330.3214+32.3686     ,T2.5        ,14.69,0.029,13.707,0.035
332.34096838769716,-27.19284630909489,-7.3,3.6,-137.3,4.0,40.7,3.9,2MASS J22092183-2711329   ,T2.5        ,14.596,0.032,13.53,0.034
332.34027360024874,-27.577721046610016,-765.1,2.0,-440.9,2.2,72.3,3.8,WISEPC J220922.10-273439.5,T7          ,17.229,0.157,15.845,0.162
333.4776168082334,9.194303941820607,-116.2,1.6,-35.4,1.8,52.0,3.1,WISEPC J221354.69+091139.4,T7          ,16.579,0.08,14.648,0.06
333.90479514284084,21.18158272093726,48.8,3.0,-186.3,2.4,55.9,4.4,2MASS J22153705+2110554   ,T1pec       ,14.26,0.027,13.54,0.03
335.5830798985483,30.433722749063346,29.8,2.1,215.0,2.2,27.9,3.1,WISE J222219.93+302601.4  ,L9          ,13.94,0.026,13.535,0.03
338.4313196486118,-13.52795609403446,318.3,2.2,-5.6,2.4,18.7,4.4,WISEA J223343.53-133140.9 ,T2 (blue)   ,15.433,0.043,14.246,0.049
339.07374643266627,51.097823330741896,708.6,2.1,326.7,2.5,102.8,1.9,WISE J223617.59+510551.9  ,T5          ,13.827,0.025,12.499,0.025
339.37297861317506,-6.24283115686732,142.8,2.1,103.0,1.8,35.0,2.7,WISEPC J223729.53-061434.2,T5          ,17.263,0.169,14.799,0.072
339.9073754849308,16.287833409126208,397.4,2.6,234.5,2.3,42.9,3.0,WISEPC J223937.55+161716.2,T3          ,14.701,0.032,13.462,0.031
341.46075546948583,-28.779787489305594,-6.4,4.5,38.3,4.3,32.1,10.4,PSO J341.4606-28.7798     ,T4          ,15.553,0.044,14.519,0.06
342.29095739705326,32.09639861412359,691.7,2.7,-172.5,2.5,49.7,3.2,2MASS J22490917+3205489   ,            ,12.944,0.024,12.626,0.025
345.3887484682694,2.276492276349517,-66.0,2.7,-93.8,2.7,52.0,3.8,WISE J230133.32+021635.0  ,T6.5        ,16.199,0.066,14.343,0.051
345.87283790986146,31.839705410760665,237.5,2.1,161.7,2.1,46.5,3.3,WISEA J230329.45+315022.7 ,T2 (blue)   ,15.161,0.036,14.063,0.04
346.50438914086453,13.040355754042729,69.9,1.3,52.1,1.5,35.8,2.9,ULAS J230601.02+130225.0  ,T6.5        ,17.496,0.179,15.14,0.081
346.5285076159994,-15.940558471441262,129.0,2.4,-6.2,2.2,23.8,3.5,PSO J346.5281-15.9406     ,L7          ,13.868,0.027,13.379,0.032
347.57708841427,-17.986941453473943,11.4,2.6,-301.4,3.2,25.5,3.3,SSSPM J2310-1759          ,L1:         ,12.61,0.024,12.304,0.025
349.726650762107,-13.020391051139146,-796.6,3.4,-248.6,3.4,66.5,3.2,2MASS J23185497-1301106   ,T5          ,15.064,0.038,13.688,0.038
349.9131946221409,-18.73453750694059,74.1,1.4,131.3,1.4,85.1,3.1,WISEPC J231939.13-184404.3,T7.5        ,16.668,0.087,13.822,0.041
350.7691972766846,-1.8759741913526826,93.3,1.5,-63.4,1.6,30.2,2.2,CFBDS J232304.41-015232.3 ,T6          ,16.618,0.093,15.068,0.085
351.43872676944966,42.86261443280716,-43.8,3.4,-286.7,3.1,67.9,3.4,2MASS J23254530+4251488   ,L7.5:       ,13.025,0.024,12.55,0.024
351.8706362355224,-27.515730224107518,296.2,3.5,61.6,2.9,55.6,6.1,WISEPC J232728.75-273056.5,L9          ,14.042,0.027,13.241,0.03
353.6356203225477,13.220947256855597,43.2,2.1,-13.4,2.5,23.3,6.3,PSO J353.6355+13.2209     ,L8:         ,13.803,0.027,13.282,0.03
354.3710300969661,57.794013805919775,26.1,2.8,-135.0,2.8,26.1,4.6,PSO J354.3709+57.7939     ,T2.5        ,14.799,0.033,14.038,0.041
354.7929379496134,13.871864180406343,371.6,2.0,-983.4,2.8,62.7,4.4,2MASSI J2339101+135230    ,T5          ,15.209,0.037,13.797,0.038
354.85647011166844,35.1212214003958,168.7,3.2,-28.0,2.8,30.4,4.9,2MASS J23392527+3507165   ,L3.0 (FLD-G),13.082,0.024,12.764,0.026
355.6214417068162,8.938910705354562,255.3,2.4,-56.5,1.6,46.2,4.7,ULAS J234228.97+085620.1  ,T6.5        ,15.969,0.059,13.951,0.042
356.0260744847137,-7.558094119266406,-4.2,3.1,-74.4,2.8,41.9,4.3,2MASS J23440624-0733282   ,L6.0        ,12.632,0.023,12.33,0.024
357.83138428585613,49.6330465930701,-357.4,2.8,-182.0,3.4,32.4,4.9,PSO J357.8314+49.6330     ,T0 (blue)   ,14.897,0.032,14.315,0.042
358.74911618043416,-18.872864288647037,-185.4,2.4,-52.7,3.0,40.7,3.0,DENIS J2354599-185221     ,L2.6:       ,12.573,0.023,12.281,0.023
359.3188282470366,12.461453577395174,24.3,1.7,-512.9,1.9,56.8,4.1,WISE J235716.49+122741.8  ,T6          ,15.742,0.048,14.018,0.04
