RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,J-mag,J-mag Error,H-mag,H-mag Error,K-mag,K-mag Error
154.84238013862316,-27.121388130686515,-639.7,5.9,33.1,7.5,47.8,5.8,DENIS J1019245-270717     ,M9.5        ,17.139,0.215,16.201,0.154,16.695,
159.24062914816403,-26.388453697804977,-48.2,2.8,-8.1,3.7,15.7,3.0,PSO J159.2399-26.3885     ,T1.5        ,16.811,0.173,16.006,0.135,15.302,0.175
160.78041968613556,22.423245094141713,-131.7,2.9,-11.9,3.5,52.4,2.9,2MASS J10430758+2225236   ,L9:         ,15.965,0.065,14.725,0.04,13.991,0.041
160.8962245014892,12.220886717023598,13.6,3.5,-253.9,3.2,59.9,3.1,SDSS J104335.08+121314.1  ,L9          ,15.997,0.088,14.969,0.077,14.258,0.066
161.0384192476643,4.493769458880591,-38.6,3.3,94.0,3.1,30.8,3.1,SDSS J104409.43+042937.6  ,L7          ,15.881,0.077,14.95,0.074,14.259,0.086
162.82852311438452,56.21911386219628,-229.2,3.6,-316.7,4.3,69.5,3.6,2MASS J10511900+5613086   ,L0.8        ,13.244,0.026,12.423,0.032,11.905,0.024
164.96625484671435,30.70150097739873,-233.1,2.4,-540.2,2.7,38.6,3.0,2MASS J10595185+3042059   ,T4          ,16.195,0.089,15.766,0.118,15.56,0.181
165.04006554277206,49.963077736944136,-149.3,3.9,-135.2,4.1,31.7,3.9,2MASS J11000965+4957470   ,L3          ,15.282,0.043,14.192,0.041,13.474,0.033
166.00507294417366,19.989406462587638,53.8,4.1,118.6,3.3,50.8,4.8,2MASSI J1104012+195921    ,L5.5        ,14.38,0.026,13.476,0.034,12.95,0.029
170.7324367523257,25.840480594318556,-1011.9,3.0,-323.8,3.5,62.9,2.8,WISEPC J112254.73+255021.5,T6          ,16.376,0.13,16.062,,16.824,
178.41549652750788,50.535984914288555,80.1,3.4,23.5,4.1,25.5,2.9,2MASS J11533966+5032092   ,L0.3        ,14.189,0.029,13.305,0.026,12.851,0.026
178.97485742780006,5.9994593188252665,-457.8,2.9,-69.3,3.3,46.5,3.9,SDSS J115553.86+055957.5  ,L6.8 (FLD-G),15.66,0.077,14.703,0.07,14.118,0.075
179.91037431893406,0.9574772085077384,17.3,5.8,-9.3,5.7,35.2,3.7,DENIS-P J1159+0057        ,L0.4        ,14.084,0.028,13.31,0.025,12.811,0.03
180.99279118152327,0.2640501695958251,-1224.2,3.5,-288.4,3.4,66.4,3.5,SDSSp J120358.19+001550.3 ,L5.0        ,14.006,0.026,13.056,0.024,12.476,0.024
181.12651264663185,32.21655752053216,69.4,4.2,-24.2,4.7,40.2,3.1,2MASSI J1204303+321259    ,M9          ,13.818,0.035,13.091,0.038,12.515,0.028
181.5108553743548,28.22479862776979,53.7,2.4,-74.7,2.9,34.0,2.4,SDSS J120602.51+281328.7  ,T3          ,16.541,0.109,15.815,0.126,15.817,
184.96470763235706,31.480490187145318,-253.4,3.1,-19.4,2.6,52.0,3.8,SDSS J121951.45+312849.4  ,L8          ,15.913,0.082,14.907,0.074,14.305,0.072
185.3643286856419,2.955557075036265,-144.1,3.0,-43.4,3.5,52.9,3.6,2MASS J12212770+0257198   ,M9.7 (FLD-G),13.169,0.023,12.41,0.025,11.953,0.026
186.4941909788005,-10.228122352843833,-158.8,2.6,-335.0,2.2,41.1,2.9,WISE J122558.86-101345.0  ,T6          ,16.433,0.103,16.295,0.217,15.873,
187.83913193860747,49.9899208662286,-49.4,3.9,-35.2,4.9,28.3,3.1,2MASS J12312141+4959234   ,L3.4        ,14.617,0.035,13.709,0.029,13.135,0.028
188.0745888009598,-9.863886262194782,-182.5,2.8,-122.8,2.6,34.5,4.5,2MASS J12321827-0951502   ,M9.5        ,13.727,0.027,13.074,0.021,12.554,0.03
191.6963172099856,40.45427447635449,137.2,3.7,-112.7,3.0,48.4,5.1,2MASSW J1246467+402715    ,L4.0        ,15.088,0.046,13.942,0.037,13.281,0.039
192.54731852621276,39.43265320073123,-42.4,3.4,-830.5,2.6,42.8,3.2,SDSS J125011.65+392553.9  ,T4          ,16.54,0.112,16.183,0.179,16.057,0.247
195.17743663378397,19.210011033593503,-807.4,3.0,-1253.5,3.1,67.5,3.2,2MASSW J1300425+191235    ,L3          ,12.717,0.022,12.08,0.023,11.624,0.02
201.0324043887745,19.107592792596584,-114.2,2.8,-101.8,2.8,33.6,3.9,PSO J201.0320+19.1072     ,T3.5        ,15.769,0.075,15.467,0.124,15.415,0.158
201.62452819129797,-0.642052939496361,-233.4,5.0,-107.7,5.2,47.9,2.9,SDSSp J132629.82-003831.5 ,L7          ,16.103,0.071,15.05,0.06,14.208,0.067
204.37999405403383,49.64351151128422,44.2,4.3,69.2,4.2,26.7,4.0,2MASS J13373116+4938367   ,M8.9        ,13.765,0.028,13.035,0.028,12.576,0.03
204.60707821629654,41.67610005799994,-161.0,3.2,-313.1,4.5,45.5,4.2,2MASSW J1338261+414034    ,L2.4        ,14.221,0.025,13.311,0.024,12.771,0.024
207.7479263201235,29.424392528228235,-148.8,1.5,-89.9,1.4,27.3,1.9,PSO J207.7496+29.4240     ,T0:pec      ,16.968,0.155,15.79,0.154,15.413,0.144
209.71956836714682,37.78720849134644,-27.0,2.8,-455.7,2.5,49.6,3.1,SDSS J135852.68+374711.9  ,T4.5:       ,16.46,0.088,16.142,0.17,16.099,
210.096444146632,43.63954464312272,-239.8,3.0,0.2,3.7,40.8,3.2,SDSS J140023.12+433822.3  ,L7:         ,16.301,0.093,15.094,0.082,14.487,0.077
213.102218737282,16.553309154659363,5.2,7.8,-112.5,9.4,29.0,5.9,2MASSW J1412244+163312    ,            ,13.888,0.029,13.15,0.036,12.521,0.03
213.8751978592786,57.408396699428586,51.1,3.3,-355.5,3.1,25.6,3.6,SDSS J141530.05+572428.7  ,T3:         ,16.734,0.156,15.821,,15.544,
215.3813031685651,18.46123418523441,-764.5,7.5,-150.2,8.1,34.2,6.7,2MASSW J1421314+182740    ,M8.9        ,13.231,0.021,12.428,0.021,11.943,0.02
