RA,DEC,PMRA,PMRA Error,PMDEC,PMDEC Error,Parallax,Parallax Error,Name,Spec,J-mag,J-mag Error,H-mag,H-mag Error,K-mag,K-mag Error
287.2842975494458,-19.629925751651744,-33.3,3.6,-154.9,4.2,49.8,4.8,DENIS-P J1909081-193748   ,            ,14.52,0.029,13.543,0.027,12.915,0.029
289.81329785059694,30.76502953831506,388.9,3.5,411.5,3.9,46.3,4.1,WISE J191915.54+304558.4  ,L9          ,15.569,0.054,14.598,0.046,13.945,0.048
307.08461511467067,0.8741078840106185,92.8,2.0,-13.0,2.5,31.0,2.1,SDSS J202820.32+005226.5  ,L2          ,14.298,0.035,13.377,0.031,12.793,0.03
316.88342271022975,-3.12599255520138,148.5,3.7,-24.3,2.7,27.8,3.5,2MASSI J2107316-030733    ,            ,14.2,0.032,13.443,0.031,12.878,0.03
321.0571072094016,0.9999222764860232,186.2,2.9,262.1,2.0,57.0,3.2,SDSS J212413.89+010000.3  ,T5          ,16.031,0.074,16.183,0.2,16.144,
323.2029350996541,-14.881702238201866,-119.8,4.0,-165.9,4.3,37.0,4.1,2MASS J21324898-1452544   ,T4          ,15.714,0.09,15.382,0.136,15.268,0.18
329.51946716330355,-15.83598422453191,39.5,3.3,-67.4,2.5,46.1,5.6,2MASS J21580457-1550098   ,L5          ,15.04,0.04,13.867,0.033,13.185,0.036
330.32070263311084,32.36845583512838,110.8,2.1,59.5,1.7,31.4,5.4,PSO J330.3214+32.3686     ,T2.5        ,16.351,0.088,15.439,0.088,15.233,
332.3409166290395,-27.19238864242822,-7.3,3.6,-137.3,4.0,40.7,3.9,2MASS J22092183-2711329   ,T2.5        ,15.786,0.071,15.138,0.108,15.097,0.148
333.90503099930515,21.182203720937263,48.8,3.0,-186.3,2.4,55.9,4.4,2MASS J22153705+2110554   ,T1pec       ,15.997,0.084,15.187,0.093,14.824,0.106
335.5829010356668,30.43300608239668,29.8,2.1,215.0,2.2,27.9,3.1,WISE J222219.93+302601.4  ,L9          ,16.552,0.108,15.598,0.099,15.176,0.144
338.4294654540254,-13.527937427367794,318.3,2.2,-5.6,2.4,18.7,4.4,WISEA J223343.53-133140.9 ,T2 (blue)   ,16.451,0.133,15.846,0.188,15.494,0.215
339.0702363416791,51.096734330741896,708.6,2.1,326.7,2.5,102.8,1.9,WISE J223617.59+510551.9  ,T5          ,14.584,0.036,14.486,0.054,14.445,0.092
341.4607310877671,-28.77991515597226,-6.4,4.5,38.3,4.3,32.1,10.4,PSO J341.4606-28.7798     ,T4          ,16.665,0.154,16.055,0.191,15.531,0.229
342.28799144601544,32.09697361412359,691.7,2.7,-172.5,2.5,49.7,3.2,2MASS J22490917+3205489   ,            ,15.482,0.06,14.353,0.051,13.588,0.046
345.3884092218002,2.2768049430161836,-66.0,2.7,-93.8,2.7,52.0,3.8,WISE J230133.32+021635.0  ,T6.5        ,16.714,0.149,16.091,,17.181,
345.8719693577328,31.839166410760665,237.5,2.1,161.7,2.1,46.5,3.3,WISEA J230329.45+315022.7 ,T2 (blue)   ,16.215,0.093,15.466,0.115,15.439,0.163
346.5289495165081,-15.940537804774596,129.0,2.4,-6.2,2.2,23.8,3.5,PSO J346.5281-15.9406     ,L7          ,16.694,0.147,15.253,0.104,14.775,0.12
347.57703001368503,-17.98593678680728,11.4,2.6,-301.4,3.2,25.5,3.3,SSSPM J2310-1759          ,L1:         ,14.376,0.032,13.578,0.032,12.969,0.026
349.7296057693901,-13.01956238447248,-796.6,3.4,-248.6,3.4,66.5,3.2,2MASS J23185497-1301106   ,T5          ,15.553,0.062,15.237,0.104,15.024,0.131
351.43906184416534,42.863570099473826,-43.8,3.4,-286.7,3.1,67.9,3.4,2MASS J23254530+4251488   ,L7.5:       ,15.493,0.05,14.452,0.045,13.764,0.046
353.63543880592374,13.220991923522265,43.2,2.1,-13.4,2.5,23.3,6.3,PSO J353.6355+13.2209     ,L8:         ,16.651,,15.782,0.153,14.762,0.097
354.37075811011533,57.794463805919776,26.1,2.8,-135.0,2.8,26.1,4.6,PSO J354.3709+57.7939     ,T2.5        ,16.595,0.138,15.767,,15.356,
354.8571353610723,35.121314733729136,168.7,3.2,-28.0,2.8,30.4,4.9,2MASS J23392527+3507165   ,L3.0 (FLD-G),15.362,0.053,14.351,0.049,13.588,0.04
356.0261225097044,-7.557846119266406,-4.2,3.1,-74.4,2.8,41.9,4.3,2MASS J23440624-0733282   ,L6.0        ,14.802,0.038,13.846,0.035,13.232,0.033
357.8328615330767,49.63365325973677,-357.4,2.8,-182.0,3.4,32.4,4.9,PSO J357.8314+49.6330     ,T0 (blue)   ,16.538,0.13,15.77,0.146,15.149,0.135
358.74973434913653,-18.872688621980373,-185.4,2.4,-52.7,3.0,40.7,3.0,DENIS J2354599-185221     ,L2.6:       ,14.178,0.029,13.44,0.032,13.039,0.03
359.31874679499765,12.46316324406184,24.3,1.7,-512.9,1.9,56.8,4.1,WISE J235716.49+122741.8  ,T6          ,16.517,0.14,15.749,,16.118,
