Name,Flag
J082718.03+480137.8,x
J082859.41-443326.1,x
J083117.86-632009.8,x
J083711.35-703341.1,x
J083901.93-441552.1,x
J084301.92+001246.8,x
J085609.65-435604.7,x
J091751.87-733850.8,x
J091828.52-775236.4,x
J092749.59+095440.0,x
J093204.91-342057.1,x
J093322.68-441904.5,x
J093938.86-722551.2,x
J094527.16-731214.3,x
J094641.48-083945.4,x
J095656.12-325020.4,x
J095803.89-621359.4,x
J100113.62-762737.8,x
J101159.13-682632.5,x
J101713.38+295805.1,x
J101716.48+295626.1,x
J101720.07+295435.4,x
J102332.99+221527.6,x
J102949.95-493625.6,x
J103307.24-250035.2,x
J103723.53-195401.7,x
J104255.86-272953.2,x
J105131.25-144017.1,x
J105649.79-740709.9,x
J105833.83-450134.1,x
J110736.90-513538.2,x
J111634.93-004046.6,x
J112523.20-683457.2,x
J114051.64-341722.0,x
J114136.50-351708.3,x
J114146.09-322321.1,x
J115334.36-822740.7,x
J115536.15-305927.1,x
J120000.34-363000.3,x
J120310.57-255530.2,x
J121215.56-173924.8,x
J122003.75-295410.7,x
J122917.21-251628.7,x
J123029.90-272158.5,x
J123326.24-194218.7,x
J124113.18-164001.0,x
J124613.10-632231.6,x
J125302.57-371811.1,x
J125634.63-135438.9,x
J125728.74-210118.2,x
J125939.29-131836.9,x
J130720.84-053001.2,x
J131220.94-293732.5,x
J131634.07-434912.3,x
J132805.85-445619.8,x
J140259.37-092107.6,x
J141500.36-364452.7,x
J142204.81-320948.4,x
J142801.19-160342.1,x
J143327.65+092806.9,x
J151833.08+115408.3,x
J152742.29-453435.2,x
J155157.87-425541.6,x
J162441.40-725552.8,x
J164817.10-813420.0,x
J171510.86-724927.8,x
J171932.21-832237.1,x
J173045.57-745705.9,x
J174922.88-515238.5,x
J185340.69-430833.1,x
J185653.72-501519.6,x
J190257.90-610322.9,x
J191146.48+085733.7,x
J191845.26-565828.8,x
J192030.37+111931.2,x
J192136.47-715758.8,x
J192650.52-454642.7,x
J193246.30-771027.6,x
J193803.68-510950.7,x
J194712.69-433548.3,x
J194837.51-692712.5,x
J195134.12-635935.4,x
J195503.52-615128.0,x
J200033.00-320211.8,x
J200456.61-564455.9,x
J200927.88-092646.0,x
J201106.47-060102.0,x
J201122.98-472457.1,x
J201410.06-840028.3,x
J201910.20-454210.4,x
J202107.44-425758.0,x
J202515.95-421622.8,x
J202953.22-690057.0,x
J203438.09-462543.1,x
J203537.40-673011.9,x
J203730.24-685219.1,x
J203820.10-373235.9,x
J204119.57-485520.8,x
J204209.15-214544.9,x
J204301.37-474214.7,x
J204317.79-610834.6,x
J204819.19-713850.4,x
J204853.44-663253.3,x
J205247.07+053855.7,x
J205255.53-514537.9,x
J205313.71-673910.9,x
J210249.12-600033.2,x
J210611.94-492849.5,x
J210909.73-571630.4,x
J211022.69+322527.3,x
J211043.40-001657.9,x
J211120.90-355127.6,x
J211846.44-391445.3,x
J212014.11-621940.9,x
J212024.99-652809.3,x
J212128.56-494147.3,x
J212259.49-441556.1,x
J212353.30-580356.6,x
J212522.99-351511.4,x
J212928.39-461226.9,x
J213346.54-362312.5,x
J213933.61-735747.9,x
J214207.79-211616.9,x
J214319.00+070736.1,x
J214403.36-575612.1,x
J215757.62-324339.7,x
J220015.39-440014.7,x
J220629.97-492401.7,x
J220739.09-095713.8,x
J220850.42-363355.7,x
J221609.67-273656.3,x
J221700.02-553139.9,x
J222624.42-065500.3,x
J223523.35-024416.9,x
J223901.74-565136.9,x
J224104.77-525153.8,x
J224107.73-485721.4,x
J224308.96-205511.6,x
J224349.27-160624.0,x
J224523.83-270822.2,x
J224625.29+144426.3,x
J224851.32-444244.9,x
J224944.94-475233.1,x
J225510.28-811102.6,x
J225524.30+041624.4,x
J230408.83-211313.8,x
J231041.71-503144.1,x
J231409.20-345602.0,x
J232047.43-280240.4,x
J232119.05-532127.3,x
J232607.74-400508.0,x
J232739.54-275204.5,x
J232802.25+134544.6,x
J233334.52-462434.2,x
J233528.67-600256.5,x
J235352.08-840934.0,x
J235614.46-770424.8,x
J235742.09-641513.3,x
J000504.45-272336.5,
J001322.53-114300.7,
J001851.66+515330.3,
J002721.79+653054.1,
J003110.49+574936.1,
J003259.67+141037.2,
J003631.37-642735.9,
J004429.40+422046.9,
J004701.44+680351.1,
J005754.18+012012.8,
J005901.49-263617.6,
J005911.45-011401.0,
J010016.22-475938.0,
J010200.93-604637.1,
J010421.00+651401.3,
J010502.29-355927.0,
J010520.71+082653.8,
J010625.98+652058.6,
J010656.15+125338.7,
J010701.42+125643.4,
J011952.82-450231.2,
J013208.02-535701.2,
J013256.57-002249.4,
J013659.71+020729.1,
J014444.76+561941.0,
J014807.67-720258.8,
J015026.49-544604.6,
J020047.37-510521.7,
J020807.79+164542.2,
J021103.25+030738.5,
J021621.35-494226.3,
J022322.74-293300.4,
J022427.13-105034.2,
J022513.28+154854.8,
J022609.18-161000.8,
J023226.69+724014.2,
J024450.23-184928.5,
J024725.30-492032.2,
J025535.26-445947.7,
J025622.54-045614.3,
J025756.61-265528.3,
J025837.52+614617.5,
J030119.46-231921.6,
J030809.75-605121.5,
J032659.62-374857.6,
J032749.08+580323.0,
J032920.30+043024.1,
J033407.20-721057.6,
J033506.75-343051.5,
J033627.39+322108.5,
J033840.59+103930.3,
J034227.65+233314.7,
J034858.83-562017.0,
J034904.98-505045.8,
J034909.48+151435.3,
J034948.56-094713.8,
J035913.41+485447.2,
J040209.78-031751.4,
J040351.12-491605.4,
J040748.67+511527.0,
J041023.25+150231.3,
J041452.29-332329.9,
J043129.15+471841.8,
J043129.15+471841.8,
J043309.36+100902.3,
J043309.36+100902.3,
J043718.22+504522.1,
J043718.22+504522.1,
J044904.49-514740.7,
J045900.44-285338.0,
J050650.23+523630.5,
J050757.35-703131.2,
J051249.58-433841.8,
J051419.16-671545.6,
J052637.55+342317.0,
J052804.96+384843.1,
J053512.02-773828.8,
J053626.61+311749.4,
J054044.34-080727.4,
J054126.97+360905.1,
J054309.68-082930.0,
J054352.32-010210.4,
J054815.67+233926.3,
J060730.30-051015.3,
J060736.17+112201.8,
J060736.94-051326.8,
J060938.14-542916.3,
J061106.73-100907.1,
J061208.71-492022.4,
J061438.13+395031.6,
J062720.06-111429.6,
J062905.12+241802.9,
J063054.39+103800.8,
J063131.58-085856.4,
J063307.72-231703.8,
J063907.04-762915.3,
J064010.34-570748.9,
J064149.20+014901.0,
J064205.59+410153.5,
J064528.39-030249.9,
J064723.21-623233.5,
J070159.78+632127.8,
J070948.97-184716.4,
J071655.72+503042.7,
J071948.80-173636.7,
J072432.10+285025.9,
J073234.31-171800.1,
J073544.11-195833.9,
J074429.45-261919.0,
J075831.11+571153.9,
J075840.07+324718.8,
J082000.34-662210.5,
J082507.33+280547.2,
J083022.95-543209.3,
J083359.76-364212.9,
J083435.43-423158.4,
J084616.85-424908.5,
J085035.75+105715.3,
J085506.91-071437.5,
J085908.26+152526.8,
J090609.08-141935.8,
J094907.92+124040.7,
J094908.49-154548.3,
J094911.65+123846.4,
J094924.42+123212.4,
J094929.13+122947.0,
J094932.05+122823.1,
J094937.21+122535.6,
J094937.38+122531.5,
J094946.98+122034.5,
J095003.21+121214.9,
J095010.92+120815.5,
J095011.03+120805.0,
J095014.69+120615.0,
J095016.58+120520.3,
J095024.24+120124.9,
J101243.27+102056.3,
J101701.77+300355.4,
J101944.47-391150.8,
J102557.21+030754.9,
J102940.35+093513.6,
J103604.84-514424.4,
J105047.67+505605.5,
J110438.21-773738.6,
J111009.77+011608.7,
J111813.24-612454.6,
J111838.42+312532.4,
J114156.25-332636.1,
J114350.62+401332.0,
J115239.76+113407.1,
J115917.15+671702.3,
J122733.33-724013.5,
J124309.35-612729.6,
J124315.94-182736.5,
J125243.86-110208.3,
J125401.16-413806.9,
J130041.37+122114.2,
J130216.93+130850.7,
J130522.97-395105.0,
J132434.67+635827.1,
J135011.43-285731.3,
J135015.00-285914.9,
J135019.97-290137.7,
J135021.13-290228.4,
J141127.70-481153.4,
J155649.22-823909.5,
J162413.95+002915.6,
J171625.27-620605.1,
J180101.71+051242.3,
J180952.51-044814.9,
J182641.78-465249.2,
J184704.30-783148.3,
J190106.23+471820.5,
J191753.92-520451.3,
J192636.29-342955.7,
J192957.44+160854.5,
J193815.46-202756.2,
J200121.21-413606.8,
J201101.47-060257.9,
J201146.50-481259.8,
J204053.54-622730.6,
J204331.57+215556.1,
J204803.67-183214.9,
J204928.79-443146.9,
J210216.64-272830.2,
J210221.02+675413.4,
J210842.31-313155.0,
J211408.18-225138.1,
J211619.78-055606.1,
J211714.50-294006.2,
J211901.86-130553.5,
J212101.13-623922.7,
J212321.88-261404.7,
J212438.91+184927.7,
J212938.51-125343.2,
J213955.48-282908.2,
J214508.32-483754.9,
J215108.18+024623.3,
J220418.42-564738.2,
J221637.70+662336.3,
J221859.41+114642.7,
J222055.45-362818.0,
J223343.65-133140.8,
J224431.96+204339.1,
J225359.30-581249.5,
J225540.85-311843.0,
J225625.60-273812.7,
J230150.29-192557.7,
J230327.99+443443.6,
J231132.49-705425.2,
J231532.97+062112.1,
J231837.73+640409.6,
J232146.92-430222.7,
J232643.34-414845.4,
J232914.65-164540.7,
J232952.42-543632.8,
J233051.30-084455.9,
J233226.61-432512.2,
J233531.55+014219.6,
J233817.04-732930.3,
J233829.78-363626.9,
J235455.62-622121.9,
J235750.23-355541.6,
